bin name	domain	confidence	% completion	% redundancy	num_splits	total length	bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
NET24.035	BACTERIA	0.3	36.62	11.27	760	1740041	NET24.035	2	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.036	BLANK	0.9	0.00	0.00	1916	2802274	NET24.036	1	1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.037	BACTERIA	0.6	46.48	16.90	757	1625578	NET24.037	19	19	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.038	BACTERIA	0.6	61.97	8.45	1126	3180597	NET24.038	10	10	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.039	BACTERIA	0.7	66.20	46.48	682	1438896	NET24.039	37	23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	None
NET24.040	BLANK	1.0	0.00	0.00	151	256191	NET24.040	0	0	None	None	None	None	None	None	None
NET24.041	BACTERIA	0.4	40.85	98.59	634	1289478	NET24.041	5	5	Bacteria	None	None	None	None	None	None
NET24.042	BACTERIA	0.5	53.52	38.03	854	1880903	NET24.042	4	4	Bacteria	None	None	None	None	None	None
NET24.043	BACTERIA	0.5	54.93	46.48	2628	5201207	NET24.043	11	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002482945
NET24.044	BLANK	0.7	0.00	0.00	285	563168	NET24.044	1	1	Bacteria	Firmicutes	Bacilli	RF39	CAG-433	CAG-594	CAG-594 sp000434835
NET24.045	BACTERIA	0.6	67.61	61.97	3355	7175175	NET24.045	12	12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.046	BACTERIA	0.5	42.25	11.27	656	1014900	NET24.046	13	13	Bacteria	None	None	None	None	None	None
NET24.047	BACTERIA	0.5	66.20	40.85	2024	4568565	NET24.047	14	5	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Thermonemataceae	Raineya	Raineya sp001281695
NET24.048	BLANK	0.8	0.00	0.00	2820	4482106	NET24.048	2	2	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
NET24.049	BACTERIA	1.0	97.18	90.14	3708	7444178	NET24.049	29	29	Bacteria	None	None	None	None	None	None
NET24.050	BLANK	0.7	0.00	0.00	3925	5885052	NET24.050	1	1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.051	BACTERIA	0.3	33.80	21.13	2453	4922249	NET24.051	4	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.052	BACTERIA	0.2	18.31	5.63	993	1715900	NET24.052	1	1	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Thermonemataceae	Raineya	Raineya orbicola
NET24.053	BLANK	0.9	0.00	0.00	2594	3767435	NET24.053	1	1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	OLB9	OLB9 sp002482845
NET24.054	BACTERIA	0.7	63.38	50.70	2870	5001142	NET24.054	27	7	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella	Arcicella aurantiaca
NET24.055	BACTERIA	0.3	42.25	36.62	3856	5679043	NET24.055	20	6	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella	Arcicella aurantiaca
NET24.056	BACTERIA	0.5	60.56	53.52	1592	2580501	NET24.056	24	15	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.057	BACTERIA	0.4	39.44	9.86	1057	1683008	NET24.057	13	13	Bacteria	None	None	None	None	None	None
NET24.058	BACTERIA	0.6	60.56	69.01	964	1366052	NET24.058	42	42	Bacteria	None	None	None	None	None	None
NET24.059	BACTERIA	0.5	63.38	25.35	2688	4095881	NET24.059	14	7	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	None
NET24.060	EUKARYA	0.2	22.89	0.00	2918	4110179	NET24.060	1	1	Bacteria	Proteobacteria	Alphaproteobacteria	UBA7985	UBA7985	UBA7985	None
NET24.061	BACTERIA	0.4	49.30	7.04	1297	1972952	NET24.061	10	5	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	UBA1315	UBA1315 sp002307065
NET24.062	BACTERIA	0.6	63.38	19.72	1212	1731052	NET24.062	23	10	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
NET8.001	BACTERIA	0.4	35.21	16.90	176	309013	NET8.001	4	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET8.002	BACTERIA	0.6	52.11	5.63	21	119654	NET8.002	5	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET8.003	BACTERIA	0.6	54.93	16.90	21	138546	NET8.003	6	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET8.004	BACTERIA	1.0	97.18	15.49	1287	6193369	NET8.004	23	22	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
NET8.005	BACTERIA	0.9	85.92	4.23	1545	3511894	NET8.005	20	20	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	None
NET8.006	BACTERIA	0.5	57.75	11.27	381	1829584	NET8.006	10	10	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET8.007	BLANK	0.9	0.00	0.00	44	104346	NET8.007	1	1	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	PXEF01	PXEF01 sp007135385
NET8.008	BLANK	0.7	0.00	0.00	3827	6048712	NET8.008	5	5	Bacteria	None	None	None	None	None	None
NET8.009	BACTERIA	0.4	36.62	22.54	1218	2148440	NET8.009	14	13	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET8.010	BACTERIA	0.8	74.65	35.21	2048	3931397	NET8.010	17	11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET8.011	BACTERIA	0.8	80.28	39.44	2947	4633457	NET8.011	25	4	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	UBA1315	UBA1315 sp002307065
NET8.012	BACTERIA	0.3	42.25	18.31	1641	2701980	NET8.012	3	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002482945
NET8.013	BLANK	1.0	0.00	0.00	113	185275	NET8.013	0	0	None	None	None	None	None	None	None
NET8.014	BACTERIA	0.6	77.46	39.44	3112	4642156	NET8.014	20	20	Bacteria	None	None	None	None	None	None
NET8.015	BACTERIA	0.5	42.25	22.54	1331	2129991	NET8.015	4	4	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
NET8.016	BACTERIA	0.6	64.79	25.35	3200	4844718	NET8.016	18	9	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp002733985
NET8.017	BACTERIA	0.5	49.30	25.35	1762	2775917	NET8.017	16	13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET8.018	BACTERIA	1.0	95.77	139.44	4405	6849536	NET8.018	62	32	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET8.019	BACTERIA	0.8	70.42	40.85	1553	2306005	NET8.019	25	21	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET8.020	BACTERIA	0.8	85.92	87.32	4781	6624311	NET8.020	42	42	Bacteria	None	None	None	None	None	None
NET8.021	BACTERIA	0.3	38.03	12.68	1283	1876256	NET8.021	7	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET8.022	BLANK	0.8	0.00	0.00	588	855999	NET8.022	6	5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET8.023	BLANK	1.0	0.00	0.00	5296	6817618	NET8.023	0	0	None	None	None	None	None	None	None
NET8.024	BLANK	0.6	0.00	0.00	3923	5028481	NET8.024	5	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera sp001803395
RETR11.001	BACTERIA	0.4	45.07	5.63	1765	3084899	RETR11.001	7	6	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	None	None
RETR11.002	BACTERIA	1.0	98.59	181.69	1038	5151401	RETR11.002	49	34	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR11.003	BLANK	1.0	0.00	0.00	833	1634919	RETR11.003	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax delafieldii
RETR11.004	BLANK	0.8	0.00	0.00	2133	4145792	RETR11.004	4	4	Bacteria	None	None	None	None	None	None
RETR11.005	BLANK	0.9	0.00	0.00	2108	4207883	RETR11.005	0	0	None	None	None	None	None	None	None
RETR11.006	BACTERIA	1.0	100.00	123.94	4441	11294398	RETR11.006	30	17	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	Thermomonas sp006337105
RETR11.007	BACTERIA	0.7	69.01	32.39	2698	6291613	RETR11.007	14	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
RETR11.008	BLANK	0.7	0.00	0.00	89	220405	RETR11.008	5	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.009	BACTERIA	0.5	57.75	35.21	897	2712927	RETR11.009	12	5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.010	BACTERIA	0.7	66.20	23.94	531	2396221	RETR11.010	15	14	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR11.011	BACTERIA	0.5	57.75	45.07	1206	4458551	RETR11.011	20	18	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR11.012	BACTERIA	0.3	25.35	15.49	101	214376	RETR11.012	17	17	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
RETR11.013	BLANK	0.7	0.00	0.00	516	1316036	RETR11.013	8	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.014	BLANK	0.6	0.00	0.00	52	127055	RETR11.014	7	7	Bacteria	None	None	None	None	None	None
RETR11.015	BLANK	0.8	0.00	0.00	562	1072577	RETR11.015	4	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002482945
RETR11.016	BLANK	0.8	0.00	0.00	1590	2695069	RETR11.016	3	2	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Palsa-1315	Palsa-1315 sp005116885
RETR11.017	BACTERIA	0.7	74.65	71.83	3617	5917483	RETR11.017	25	25	Bacteria	None	None	None	None	None	None
RETR11.018	BACTERIA	0.4	43.66	16.90	1540	2582742	RETR11.018	15	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sphaerotilus	Sphaerotilus natans
RETR11.019	BLANK	0.9	0.00	0.00	360	684551	RETR11.019	2	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	None	None	None
RETR11.020	BACTERIA	0.5	52.11	18.31	2351	5411908	RETR11.020	7	7	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	None	None
RETR11.021	BACTERIA	0.3	35.21	21.13	2437	4601289	RETR11.021	3	3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	None	None
RETR11.022	BACTERIA	0.6	50.70	26.76	4002	7084444	RETR11.022	6	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	SLDF01	SLDF01 sp007125435
RETR11.023	BLANK	0.7	0.00	0.00	143	313887	RETR11.023	4	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.024	BACTERIA	0.7	63.38	52.11	3573	6369818	RETR11.024	13	13	Bacteria	None	None	None	None	None	None
RETR11.025	BACTERIA	0.7	57.75	42.25	896	1757401	RETR11.025	23	9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.026	BLANK	0.9	0.00	0.00	1607	2834191	RETR11.026	3	2	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella	Arcicella aurantiaca
RETR11.027	BACTERIA	0.8	80.28	47.89	4080	6127105	RETR11.027	33	19	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Palsa-1315	None
RETR11.028	BACTERIA	0.5	53.52	16.90	2172	4275753	RETR11.028	9	8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR11.029	BACTERIA	0.4	39.44	39.44	583	981221	RETR11.029	6	6	Bacteria	None	None	None	None	None	None
RETR11.030	BACTERIA	0.5	64.79	39.44	1461	2959757	RETR11.030	24	23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR11.031	BACTERIA	0.4	40.85	29.58	150	324156	RETR11.031	21	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.032	BACTERIA	0.2	22.54	5.63	118	243031	RETR11.032	8	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR11.033	BACTERIA	0.5	45.07	29.58	4445	7416981	RETR11.033	11	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Haliscomenobacter	Haliscomenobacter hydrossis
RETR11.034	BLANK	0.7	0.00	0.00	182	323913	RETR11.034	3	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	None	None
RETR11.035	BLANK	0.9	0.00	0.00	291	479011	RETR11.035	0	0	None	None	None	None	None	None	None
RETR11.036	BACTERIA	0.2	18.31	4.23	392	753930	RETR11.036	2	2	Bacteria	Proteobacteria	Gammaproteobacteria	None	None	None	None
RETR11.037	BACTERIA	0.5	49.30	53.52	4304	8219487	RETR11.037	6	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR11.038	BLANK	1.0	0.00	0.00	413	645840	RETR11.038	0	0	None	None	None	None	None	None	None
RETR11.039	BACTERIA	0.6	57.75	16.90	1325	2113334	RETR11.039	16	16	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR11.040	BACTERIA	0.6	53.52	42.25	498	849364	RETR11.040	5	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
RETR11.041	BACTERIA	0.8	81.69	46.48	1631	2803666	RETR11.041	30	14	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methyloglobulus	Methyloglobulus morosus
RETR11.042	BACTERIA	0.2	26.76	5.63	737	1077629	RETR11.042	6	6	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	None	None
RETR11.043	BACTERIA	0.3	23.94	2.82	572	941299	RETR11.043	4	4	Bacteria	None	None	None	None	None	None
RETR11.044	BACTERIA	0.5	45.07	18.31	1577	2443918	RETR11.044	15	5	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
RETR11.045	BACTERIA	0.5	50.70	21.13	2784	4377391	RETR11.045	12	2	Bacteria	Actinobacteriota	Thermoleophilia	Ga0077560	Ga0077560	Ga0077541	Ga0077541 sp001464995
RETR11.046	BACTERIA	0.7	63.38	21.13	2175	3379592	RETR11.046	19	9	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp002733985
RETR11.047	BLANK	1.0	0.00	0.00	330	489969	RETR11.047	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	None	None
RETR11.048	BACTERIA	0.7	74.65	40.85	2513	3767595	RETR11.048	29	29	Bacteria	None	None	None	None	None	None
RETR11.049	BLANK	0.9	0.00	0.00	943	1383496	RETR11.049	0	0	None	None	None	None	None	None	None
RETR11.050	BACTERIA	0.3	36.62	19.72	2188	3132755	RETR11.050	11	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp002400445
RETR11.051	BACTERIA	0.8	77.46	80.28	4536	6684148	RETR11.051	27	27	Bacteria	None	None	None	None	None	None
RETR11.052	BACTERIA	0.8	73.24	49.30	2094	2873018	RETR11.052	35	5	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	SCMT01	SCMT01 sp005502915
RETR11.053	BLANK	1.0	0.00	0.00	1034	1535630	RETR11.053	0	0	None	None	None	None	None	None	None
RETR11.054	BACTERIA	0.7	71.83	36.62	3171	4654428	RETR11.054	21	5	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	SZUA-35	SZUA-35	SZUA-35 sp003231975
RETR11.055	BACTERIA	0.6	50.70	46.48	1330	1892519	RETR11.055	20	8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR11.056	BACTERIA	0.6	63.38	28.17	1226	1723689	RETR11.056	23	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	UBA5216	UBA5216 sp002412495
RETR11.057	BACTERIA	0.6	63.38	35.21	1491	2121435	RETR11.057	22	3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	UBA1936	UBA1936 sp002478575
RETR12.001	BACTERIA	0.6	59.15	23.94	773	3315847	RETR12.001	13	13	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	None	None
RETR12.002	BACTERIA	0.5	59.15	21.13	1366	5870615	RETR12.002	6	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Flavilitoribacter	Flavilitoribacter nigricans
RETR12.003	BACTERIA	0.2	22.54	11.27	1155	3300092	RETR12.003	12	3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	Lewinella cohaerens
RETR12.004	BACTERIA	0.8	73.24	23.94	2225	5620244	RETR12.004	10	10	Bacteria	None	None	None	None	None	None
RETR12.005	BACTERIA	1.0	95.77	25.35	1308	4334730	RETR12.005	27	11	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sphaerotilus	Sphaerotilus natans
RETR12.006	BACTERIA	0.8	81.69	26.76	1668	2964206	RETR12.006	29	29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR12.007	BACTERIA	0.4	46.48	21.13	2877	7045721	RETR12.007	5	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	M3007	M3007 sp006226345
RETR12.008	BACTERIA	1.0	97.18	204.23	817	5161888	RETR12.008	48	33	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR12.009	BLANK	0.7	0.00	0.00	2623	4508439	RETR12.009	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sphaerotilus	Sphaerotilus natans
RETR12.010	BACTERIA	0.9	90.14	40.85	991	2362848	RETR12.010	33	13	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methyloglobulus	Methyloglobulus morosus
RETR12.011	BACTERIA	0.3	35.21	2.82	1011	2642319	RETR12.011	2	2	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	None	None
RETR12.012	BACTERIA	0.6	63.38	57.75	1503	3490512	RETR12.012	14	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR12.013	BACTERIA	1.0	94.37	14.08	1892	6244304	RETR12.013	22	21	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
RETR12.014	BACTERIA	0.2	35.21	7.04	1796	4109298	RETR12.014	8	3	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Pseudarcicella	Pseudarcicella hirudinis
RETR12.015	BACTERIA	0.4	54.93	39.44	856	3571183	RETR12.015	9	9	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR12.016	BACTERIA	0.3	22.54	9.86	844	1755704	RETR12.016	7	2	Bacteria	Bacteroidota	Bacteroidia	NS11-12g	UKL13-3	B1	B1 sp002256395
RETR12.017	BACTERIA	0.4	32.39	22.54	688	1191913	RETR12.017	15	13	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR12.018	BACTERIA	0.4	29.58	21.13	162	370793	RETR12.018	16	9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR12.019	BACTERIA	0.7	69.01	81.69	2654	5064655	RETR12.019	17	17	Bacteria	None	None	None	None	None	None
RETR12.020	BACTERIA	0.4	52.11	9.86	1476	3061840	RETR12.020	13	8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
RETR12.021	BACTERIA	0.3	36.62	16.90	2409	4804334	RETR12.021	3	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR12.022	BACTERIA	0.6	64.79	19.72	2512	3939702	RETR12.022	22	8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp002733985
RETR12.023	BACTERIA	0.8	81.69	73.24	3259	5666444	RETR12.023	34	34	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR12.024	BACTERIA	0.6	64.79	14.08	3179	4705260	RETR12.024	13	13	Bacteria	None	None	None	None	None	None
RETR12.025	BACTERIA	0.7	67.61	15.49	1318	2624563	RETR12.025	15	5	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methyloglobulus	Methyloglobulus morosus
RETR12.026	BLANK	0.9	0.00	0.00	1878	3228911	RETR12.026	6	2	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcicella	Arcicella aurantiaca
RETR12.027	BACTERIA	0.5	45.07	30.99	2901	4988676	RETR12.027	16	16	Bacteria	None	None	None	None	None	None
RETR12.028	BACTERIA	0.9	78.87	61.97	2999	4773862	RETR12.028	37	37	Bacteria	None	None	None	None	None	None
RETR12.029	BACTERIA	0.3	42.25	29.58	3240	5619549	RETR12.029	1	1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	M3007	M3007 sp006226345
RETR12.030	BACTERIA	0.3	38.03	15.49	2865	4659825	RETR12.030	11	3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	SLDF01	SLDF01 sp007125435
RETR12.031	BACTERIA	0.6	57.75	36.62	5178	8161134	RETR12.031	6	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA2329	UBA2329 sp002344975
RETR12.032	BACTERIA	0.4	36.62	21.13	2401	3691998	RETR12.032	6	6	Bacteria	None	None	None	None	None	None
RETR12.033	BACTERIA	0.6	59.15	16.90	2057	3705365	RETR12.033	15	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp002733985
RETR12.034	BACTERIA	0.4	49.30	28.17	2480	5104559	RETR12.034	5	2	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	SCMT01	SCMT01 sp005502915
RETR12.035	BACTERIA	0.6	66.20	36.62	3739	6672079	RETR12.035	13	13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR12.036	BACTERIA	0.5	52.11	32.39	846	1441353	RETR12.036	16	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR12.037	BLANK	0.8	0.00	0.00	1003	1600288	RETR12.037	6	6	Bacteria	None	None	None	None	None	None
RETR12.038	BACTERIA	0.4	38.03	25.35	3886	6624497	RETR12.038	7	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	UBA5216	UBA5216 sp005800795
RETR12.039	BACTERIA	1.0	87.32	73.24	3290	5645819	RETR12.039	42	22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	UBA5216	UBA5216 sp002412495
RETR12.040	BLANK	0.8	0.00	0.00	216	369904	RETR12.040	3	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
RETR12.041	BACTERIA	0.6	57.75	25.35	1894	3347657	RETR12.041	16	7	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methyloglobulus	Methyloglobulus morosus
RETR12.042	BACTERIA	0.4	38.03	5.63	448	773610	RETR12.042	8	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	None
RETR12.043	BACTERIA	0.7	73.24	57.75	2259	3656711	RETR12.043	37	28	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	None	None
RETR12.044	BACTERIA	0.7	63.38	59.15	3025	4519944	RETR12.044	33	20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
RETR12.045	BACTERIA	0.5	64.79	21.13	1917	2868140	RETR12.045	16	16	Bacteria	Proteobacteria	Alphaproteobacteria	None	None	None	None
RETR12.046	BACTERIA	0.8	76.06	40.85	2985	4151030	RETR12.046	26	9	Bacteria	Actinobacteriota	Thermoleophilia	Ga0077560	Ga0077560	Ga0077560	Ga0077560 sp001464275
RETR15.001	BACTERIA	0.9	87.32	1.41	389	5454130	RETR15.001	18	18	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
